critique_id,old_risk,stronger_defended_claim,required_theorem_or_fix,required_experiment_or_data,acceptance_gate,target_paper
C1_diagnostic_only,Figures may look like evidence while report says diagnostic_only,Diagnostic_only is elevated to the estimand: signed comparator identified sets and calibrated diagnostic functionals are the paper's result,Diagnostic-to-estimand theorem and sidecar schema,Component source matrix plus D01-D24 sidecar audit,Every figure declares y/R/rank/null/covariance/claim_tier and no posterior/evidence wording appears in diagnostic captions,Paper A plus appendix of Paper B
C2_P31_sharpness,Sharpness may be only abstract cone sharpness not full physical sharpness,Sharpness is proved relative to explicit HTT-realizable kinematic/constraint-data class and numerically witnessed by local GR initial-data ansatz,Local constrained-data realization theorem; conformal-method or local jet proof,Endpoint realization solver for xC lower/upper endpoints with Hamiltonian/momentum residual checks,Symbolic first-order residual zero and numerical residual <1e-10 or convergence slope >=1.8,Paper A theorem section
C3_P36_universal_strictness,Universal strictness has counterexample,Joint interval is exact and sharp; strict inclusion is generic with necessary/sufficient equality conditions,Replace strict-whenever with generic strictness/equality-characterization theorem,Random coefficient phase diagram plus equality counterexample and strict example unit tests,Equality counterexample passes; strict case passes; theorem states exact equality conditions,Paper A statistics section
C4_known_vs_estimated_covariance,Coverage assumes known covariance but K1/K5 use simulation estimated covariance,Separate known-covariance and estimated-covariance coverage theorems,Add P35a/P35b; Hartlap and Sellentin-Heavens policies,Wishart covariance MC sweep over p and Nsim plus endpoint coverage under Gaussian plug-in/Hartlap/t-likelihood,Gaussian plug-in bias shown; corrected/t lane reaches nominal within MC error; sidecar records p Nsim correction,Paper A methods and Paper B data appendix
C5_prior_exposure,Posterior over null directions may be prior-driven,Prior exposure is a theorem and a positive diagnostic label not a weakness,Posterior null-direction KL theorem under independent/coupled priors,Gaussian conjugate exact witness and prior coupling sensitivity table,Independent prior KL exactly 0; coupled prior changes are labeled prior-driven,Paper A theorem section
C6_rank2_current_channels,Rank-2 theorem may look like toy linear algebra,Rank/null result is a tensor response selection theorem; transverse/spin-2 reopening is a falsifiable prediction,Derive radial-vorticity annihilation and spherical-harmonic selection rules,Injection tests: scalar/radial rank 2; transverse/spin-2 rank 4 toy; native transfer later,Rank certificate stable under whitening/nuisance projection and channel addition changes rank as predicted,Paper A plus Paper B readiness
C7_K1_lowell,Low-ell anomaly statistics can be systematics dominated,K1 is a calibrated scalar/BiPoSH comparator lane using PR4/NPIPE or E2E/FFP nulls,Map stability and estimated-covariance coverage theorem,Planck map-product stability; simulations; Hartlap/SH covariance correction,SMICA/Commander/SEVEM/NILC leave-one-product-out stability and null calibration pass,Paper B
C8_K5_CF4,CF4 bulk-flow plots lack full selection/Malmquist/correlated mocks,K5 is a hierarchical selection-corrected depth-flow interval lane not a raw bulk-flow claim,Depth-gap identified-set theorem with shell covariance; hierarchical likelihood,CF4 method-mixture + Malmquist + correlated-field mock suite; estimator comparison,68/95% mock coverage passes by depth; GF withheld unless covariance/null bound,Paper B
C9_DESI,DESI cap/tracer asymmetry can be survey window/mask artifact,DESI lane is a data-random response-vector and window-null test,Survey-window response theorem and random-catalog null protocol,Official random catalogs; tracer/cap/redshift weights; mock rotations,NGC-SGC statistic includes random-window null bands and no physical asymmetry without deconvolution,Paper B
C10_reproducibility,Report package has figures and hashes but not full rerun inputs/scripts,Reproducible supplement becomes a formal claim: every result is generator-bound,Reproducibility theorem is not needed; CI contract is enough,make reproduce-paper; environment lock; input recipes; synthetic fixtures,Fresh checkout reproduces tables/figures or emits deterministic missing-data recipes,All papers
