section,title,source_ids,report_anchor,evidence_grade,method_status
1,"범위, 읽기 순서와 분기별 최신판",S01;S03;S36;S37;S48,REPORT.md#s1,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
2,물리적 상태와 관측량의 구별,S04;S05,REPORT.md#s2,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
3,부호 있는 곡률 예산과 기준계 귀속,S25;S26;S27,REPORT.md#s3,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
4,"다유체, 양의 moment와 실현 가능성",S28;S29,REPORT.md#s4,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
5,"운동론, 엔트로피와 almost-EGS의 조건",S30;S31;S32;S33;S34,REPORT.md#s5,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
6,MES 부등식의 물리 내용과 한계,S04;S05;S10,REPORT.md#s6,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
7,벡터·텐서 불변량과 두 기둥 연구 프로그램,S35;S36;S37,REPORT.md#s7,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
8,저차 CMB의 완전한 텐서 표현,S01;S04;S06;S07,REPORT.md#s8,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
9,"회전 궤도, 불변량과 인증 거리",S04;S08;S09;S54;S55,REPORT.md#s9,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
10,양의 이차 하늘과 역복원의 통계적 취약성,S37,REPORT.md#s10,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
11,PSTF 복사 전달과 온도·편광의 분기,S38;S39;S40,REPORT.md#s11,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
12,국소 boost 반응과 nuisance 몫공간,S04;S15;S16,REPORT.md#s12,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
13,"국소 운동, 깊이 관측과 원격 채널",S01;S28;S37;S41;S52;S53,REPORT.md#s13,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
14,곡률의 동역학적 재개방,S42,REPORT.md#s14,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
15,제한된 Bianchi-I 물리 벤치마크,S01;S19;S20,REPORT.md#s15,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
16,물리적 가능집합과 부분 식별,S04;S05;S11,REPORT.md#s16,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
17,공유 nuisance를 가진 분수계획 구간,S35;S43;S44,REPORT.md#s17,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
18,특이 Gaussian 법칙과 신뢰영역의 역상,S01;S11;S12;S13;S14,REPORT.md#s18,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
19,"추정 공분산, coverage와 식별된 집합",S29;S45;S46,REPORT.md#s19,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
20,유한 표본 순위와 수치적 중단,S01;S04;S09,REPORT.md#s20,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
21,함수·집합·경로 통계와 의존 자료의 결합,S35;S37;S46;S47,REPORT.md#s21,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
22,수치 오차와 조건부 물리 사상,S01;S04;S09;S17;S18,REPORT.md#s22,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
23,스칼라 진단을 대체하는 텐서 정규화와 통계 분석,S04;S07;S35;S49;S50;S51;S52;S53,REPORT.md#s23,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
24,"정보량, EGS bracket과 추가 관측의 역할",S28;S41,REPORT.md#s24,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
25,증명 근거와 역사적 연구 목표의 대응,S02;S03,REPORT.md#s25,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
26,현재 가능한 분석과 다음 이론 연결,S01;S20;S24,REPORT.md#s26,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
27,전체 연구 갈래의 연결과 남은 정리 프로그램,S03;S29;S48,REPORT.md#s27,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
28,보유 데이터에 실제로 동원된 정리와 해석,S01;S13;S24;S37;S52;S55,REPORT.md#s28,기존 자료의 설명·조건 보존; 별도 과학적 승격 없음,정적 source 대조; 연구/CAS/시험 미실행
