claim_id,section_id,section_title,claim_role
RA-SCOPE-001,S01,Scope authority and supersession,scope_and_supersession
RA-REP-001,S02,Observable low-ell tensor representation,carrier_isometry
RA-REP-002,S02,Observable low-ell tensor representation,coordinate_adapter
RA-REP-003,S02,Observable low-ell tensor representation,stf_norm_normalisation
RA-ORBIT-001,S03,QO orbit geometry and strata,quotient_dimension
RA-ORBIT-002,S03,QO orbit geometry and strata,cyclic_reconstruction
RA-ORBIT-003,S03,QO orbit geometry and strata,mirror_separation
RA-ORBIT-004,S03,QO orbit geometry and strata,typed_singular_strata
RA-KIN-001,S04,Typed physical kinematics frame velocities and geometry,state_factorisation
RA-KIN-002,S04,Typed physical kinematics frame velocities and geometry,frame_velocity_semantics
RA-KIN-003,S04,Typed physical kinematics frame velocities and geometry,typed_missingness
RA-GEO-001,S04,Typed physical kinematics frame velocities and geometry,geometry_type_and_dimension
RA-KFUNC-001,S04,Typed physical kinematics frame velocities and geometry,physical_functional_registry
RA-MES-001,S05,Premise-matched MES sector anchors,pstf_multipole_normalisation
RA-MES-002,S05,Premise-matched MES sector anchors,one_way_radial_anchor
RA-MES-003,S05,Premise-matched MES sector anchors,scalar_to_tensor_no_go
RA-MESA-001,S05,Premise-matched MES sector anchors,active_sector_inventory
RA-MESA-002,S05,Premise-matched MES sector anchors,channel_and_denominator_contract
RA-MESA-003,S05,Premise-matched MES sector anchors,product_gauge_and_coupled_boundary
RA-ID-001,S06,Jointly conditioned physical identified sets,shared_data_joint_feasible_set
RA-ID-002,S06,Jointly conditioned physical identified sets,singleton_fibre_and_abstention
RA-STAT-001,S07,Finite-null validity,exchangeable_row_rank
RA-STAT-002,S07,Finite-null validity,complete_analysis_equivariance
RA-STAT-003,S07,Finite-null validity,null_fidelity_boundary
RA-STAT-004,S07,Finite-null validity,group_orbit_randomisation
RA-RESP-001,S08,Scoped local observer response,beta_ro_lorentz_pullback
RA-RESP-002,S08,Scoped local observer response,stf_response_and_conditioning
RA-PROC-001,S09,Processed response and nuisance quotient,operator_composition
RA-PROC-002,S09,Processed response and nuisance quotient,structural_t0_null
RA-PROC-003,S09,Processed response and nuisance quotient,quotient_rank_identity
RA-PROC-004,S09,Processed response and nuisance quotient,task7b_no_candidate_result
RA-PROC-005,S09,Processed response and nuisance quotient,task7c_rank_unresolved_boundary
RA-CONT-001,S10,Continuum wide-mask evidence,exact_z_direction_rank
RA-CONT-002,S10,Continuum wide-mask evidence,five_direction_numerical_rank
RA-CONT-003,S10,Continuum wide-mask evidence,continuum_discrete_firewall
RA-ERR-001,S11,Matrix-valued numerical error,loewner_envelope
RA-ERR-002,S11,Matrix-valued numerical error,parameterisation_invariance
RA-ERR-003,S11,Matrix-valued numerical error,robust_rank_lower_bound
RA-ERR-004,S11,Matrix-valued numerical error,partial_subspace_gap_boundary
RA-BOUNDARY-001,S12,Integrated interpretation and deferred observations,current_observational_boundary
