anchor_id,proposed_id,title,role,rationale_ko,source,line_start,line_end,excerpt,linked_item_ids,prior_proof_statuses,proof_support,novelty_assessment
role-61db4486cf9c9245,NT2-A1,NT2-A1 — Genuine multi-multipole Fisher–Cramér–Rao floor on `F_shear`  [Provable; flagship],research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""8111df9ea26f901196aa4fac7e29c4c5dc57fc05588004161615aca001e31d3a:dd0517db"", ""git_blob"": null, ""id"": ""91609f70a7bf077d9a71b2a3744a0bbd"", ""observed_commit"": null, ""path"": ""audit_files.zip!/egs_extension_program.zip!/04_THEOREM_CANDIDATES.md"", ""source_id"": ""main_overlay""}",9,22,"### NT2-A1 — Genuine multi-multipole Fisher–Cramér–Rao floor on `F_shear`  [Provable; flagship]

**Statement.** Let `F_shear` depend on the low-ℓ CMB through the multipole powers `{C_ℓ}_{ℓ≥2}`, with response `r_ℓ = ∂ln C_ℓ/∂ln F_shear` (`r₂=1` by NT-A1; `r_{ℓ>2}>0` because the shear sources `ℓ>2` via the EGS gradient/octupole chain). For Gaussian multipoles on a fraction `f_sky` of sky, the Fisher information is `I = Σ_{ℓ≥2}(2ℓ+1)/2·f_sky·r_ℓ²`, and the Cramér–Rao bound on *any* unbiased estimator is
`σ(F_shear)/F_shear ≥ I^{−1/2} = [Σ_{ℓ≥2}(2ℓ+1)/2·f_sky·r_ℓ²]^{−1/2}`.
This is **strictly below** the single-ℓ value `√(2/(2·2+1))=√(2/5)≈0.632`, and decreases as more multipoles are included; sky cuts (`f_sky<1`) raise it.

**Why it matters (audit fix).** The report's NT-A3 labels the single-estimator sampling dispersion a ""Cramér–Rao floor / irreducible / unmeasurable below 63%"". That is not a floor over all estimators. NT2-A1 supplies the actual floor and shows it is lower — the report's ""floor"" language becomes correct only once stated as NT2-A1.

**Proof sketch.** For independent Gaussian `a_{ℓm}` with variance `C_ℓ`, `−∂²lnL/∂C_ℓ² ⇒ I(C_ℓ)=(2ℓ+1)f_sky/(2C_ℓ²)`; chain through `r_ℓ` to `F_shear` and sum the independent multipoles (Fisher additivity). The single-ℓ term recovers `√(2/5)`; any `r_{ℓ>2}>0` strictly increases `I`, lowering the floor. ∎ (MC-verified: a multipole-combining MLE achieves the floor, ratio→1.)

**Numerical support.** NT2-A1: floor 0.632→0.474→0.424 (`L=2,5,20`, `f_sky=1`); `f_sky=0.7` raises it; MC MLE ratio 0.99–1.00.

**To close.** Replace the toy response `r_ℓ` with the exact covariant ℓ=2/ℓ=3 coefficients and a real low-ℓ transfer; quote the floor with Planck `f_sky` and mask coupling.
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-ac63913e9a4082d8,NT2-A2,NT2-A2 — Quadrupole+octupole sufficiency / EGS information saturation  [Conditional],research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""8111df9ea26f901196aa4fac7e29c4c5dc57fc05588004161615aca001e31d3a:dd0517db"", ""git_blob"": null, ""id"": ""91609f70a7bf077d9a71b2a3744a0bbd"", ""observed_commit"": null, ""path"": ""audit_files.zip!/egs_extension_program.zip!/04_THEOREM_CANDIDATES.md"", ""source_id"": ""main_overlay""}",23,30,"### NT2-A2 — Quadrupole+octupole sufficiency / EGS information saturation  [Conditional]

**Statement.** At leading EGS order the shear sources only `ℓ=2,3` appreciably (`r_ℓ` decays for `ℓ>3`); hence `(a₂,a₃)` is an approximately sufficient statistic for `F_shear`, and the marginal Fisher information from `ℓ>3` is bounded by `Σ_{ℓ>3}(2ℓ+1)/2·f_sky·r_ℓ²`, which converges. Measuring beyond the octupole yields diminishing returns for the shear-filling.

**Proof sketch.** Sufficiency from the factorisation of the Gaussian likelihood given `(C₂,C₃)` when `r_{ℓ>3}≈0`; the bound is the Fisher tail sum, convergent for any decaying `r_ℓ`. ∎

**To close.** A dedicated experiment computing the Fisher tail with the real `r_ℓ`; quantify the `(a₂,a₃)` sufficiency gap.
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-93d992474af4a17c,NT2-A3,NT2-A3 — Registered global exceedance bound  [Conditional → Forecast],research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""8111df9ea26f901196aa4fac7e29c4c5dc57fc05588004161615aca001e31d3a:dd0517db"", ""git_blob"": null, ""id"": ""91609f70a7bf077d9a71b2a3744a0bbd"", ""observed_commit"": null, ""path"": ""audit_files.zip!/egs_extension_program.zip!/04_THEOREM_CANDIDATES.md"", ""source_id"": ""main_overlay""}",31,40,"### NT2-A3 — Registered global exceedance bound  [Conditional → Forecast]

**Statement.** For a frozen family of `m` low-ℓ statistics, convert each to a tail score, take the max, and form the rank Monte-Carlo p-value with the `+1` correction: `p_global=(#{sim max ≥ obs max}+1)/(N+1)`. Then `p_global ≥ max_i p_local,i` (no look-elsewhere undercount), and the registered exceedance `Π` over the family is calibrated. This makes the K1 ""not globally significant"" statement a *theorem* about the estimator, not a caveat.

**Proof sketch.** The max-scan rank statistic dominates each component rank; the `+1` correction bounds the estimator from below. ∎

**To close.** Run on the public Planck E2E ensemble (see `BLOCKER_SOLUTIONS.md`, K1).

---
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-7656eee17e6a41ff,NT2-B1,NT2-B1 — Two-sided quadrupole+octupole shear/`F` bracket  [Conditional; flagship],research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""8111df9ea26f901196aa4fac7e29c4c5dc57fc05588004161615aca001e31d3a:dd0517db"", ""git_blob"": null, ""id"": ""91609f70a7bf077d9a71b2a3744a0bbd"", ""observed_commit"": null, ""path"": ""audit_files.zip!/egs_extension_program.zip!/04_THEOREM_CANDIDATES.md"", ""source_id"": ""main_overlay""}",43,54,"### NT2-B1 — Two-sided quadrupole+octupole shear/`F` bracket  [Conditional; flagship]

**Statement.** Under H3 (`R_EGS=a₃/a₂≤R*`), the shear is bracketed by the observed quadrupole+octupole:
`a₂·κ/(1+R_EGS) ≤ Σ ≤ C_up·a₂`,
so `F_shear ∈ [ (a₂κ/(1+R_EGS))²/x_max , (C_up a₂)²/x_max ]`. The **lower** bound is the new, strong content: a **nonzero** CMB quadrupole **forbids a vanishing shear-filling** — an exclusion of zero at fixed `a₂`, not merely an upper limit.

**Proof sketch.** Upper: MES. Lower: the ℓ=2 relation `a₂=κΣ + (derivative correction)`; H3 bounds the derivative correction by `R_EGS·a₂`, so `Σ ≥ a₂/(κ⁻¹(1+R_EGS))`. ∎ (verified: `F_lo>0` in all rows.)

**Numerical support.** NT2-B1: e.g. `a₂=3×10⁻⁵, a₃=6×10⁻⁶ (R_EGS=0.2)` → `F_shear∈[2.45×10⁻⁶, 7.88×10⁻³]`, bounded away from zero.

**To close.** Exact MES upper constant and the covariant derivative-correction coefficient; quote the bracket with Planck `a₂,a₃`.
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-268fdb1bddd84233,NT2-B2,NT2-B2 — GR shear-memory-sourced depth transport of `G_F`  [Conditional],research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""8111df9ea26f901196aa4fac7e29c4c5dc57fc05588004161615aca001e31d3a:dd0517db"", ""git_blob"": null, ""id"": ""91609f70a7bf077d9a71b2a3744a0bbd"", ""observed_commit"": null, ""path"": ""audit_files.zip!/egs_extension_program.zip!/04_THEOREM_CANDIDATES.md"", ""source_id"": ""main_overlay""}",55,64,"### NT2-B2 — GR shear-memory-sourced depth transport of `G_F`  [Conditional]

**Statement.** Using PAPER-B's shear-memory law `σ̇=−3Hσ+3H²Π` (`Π` the tilt anisotropic stress), the depth gap obeys a transport equation whose source is `Π(z)`: a depth-evolving `Π(z)` produces a depth-evolving `G_F(z)`, while a steady `Π` relaxes `G_F` toward a constant (EGS-like). This upgrades NT-B3's ""a `ΔF` trend is attributable to the tilt only with a response-rank gate"" to ""the tilt anisotropic stress is the **explicit GR source** of the depth gap.""

**Proof sketch.** Integrate the shear-memory ODE with source `3H²Π(z)`; `F_shear(z)=σ(z)²/x_max`; differentiate along the line of sight. Steady `Π` → `σ→` const → flat `G_F`; growing `Π(z)` → growing `σ(z)` → depth-dependent `G_F`. ∎ (verified.)

**Numerical support.** NT2-B2: steady `Π` → `G_F` spread 0; growing `Π(z)~z` → spread 2.45.

**To close.** The real `H(z)` and a survey-matched depth binning; couple to the prior tomographic forecast.
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-9526674fe35823d9,NT2-B3,"NT2-B3 — Vorticity joint blind-sector no-go  [Provable, grounded]",research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""8111df9ea26f901196aa4fac7e29c4c5dc57fc05588004161615aca001e31d3a:dd0517db"", ""git_blob"": null, ""id"": ""91609f70a7bf077d9a71b2a3744a0bbd"", ""observed_commit"": null, ""path"": ""audit_files.zip!/egs_extension_program.zip!/04_THEOREM_CANDIDATES.md"", ""source_id"": ""main_overlay""}",65,74,"### NT2-B3 — Vorticity joint blind-sector no-go  [Provable, grounded]

**Statement.** The vorticity term `W²_std` in `x_C` is unconstrained by the two observational channels the program uses, *simultaneously*: (i) CMB temperature multipoles do not bound the curl/magnetic-Weyl sector at EGS order (H3/Weyl loophole), and (ii) radial peculiar-velocity data carry no vorticity, since `n^aΩ_ab n^b=0` exactly for any antisymmetric `Ω` (PAPER-A A-radial-novortex). Therefore no estimator built on CMB-temperature + radial velocities alone can constrain the comparator's vorticity term — a strong no-go on the diagnostic's reach.

**Proof sketch.** (ii) is an algebraic identity (`Ω` antisymmetric ⇒ `n·Ω·n=0`); (i) is the Weyl loophole (NUWL 1999). The union closes both channels. ∎ (verified: radial projection 3.3e-16; CMB-T sensitivity 0.)

**To close.** State which *additional* channel (tangential velocities, polarisation B-modes, or the native low-ℓ morphology) re-opens the vorticity sector.

---
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-3fc75c9afe77083a,A37,A37 — Evidence anatomy consistency theorem,research_proposal_candidate,구판 연구계획이 신규 appendix A37로 증명 목표와 근사 합산식을 명시한다. 가정·오차의 정식화 및 후속 구현은 이 역할 판정에서 확인하지 않았다.,"{""content_id"": ""da980db92be1208852e018841c1d6929e22e538691beb32b0151ca498dc3e264:c57f56a5"", ""git_blob"": ""400e2e535416a7edb4764065207f2f1bb22ace15"", ""id"": ""f4883ca95891c6beba1f68d112166963"", ""observed_commit"": ""96e69e648f1182f4ae4f977a854066e0dc6c154f"", ""path"": ""docs/BASS_PY_HTT_TSC_MIO_RESEARCH_PLAN_v4_critical_upgraded.md"", ""source_id"": ""htt_base""}",2856,2856,| A37 | **Evidence anatomy consistency theorem** (Σ channels Δln B ≈ total ln B) | ~200 L |,[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-c5a99d504477c00a,T1,T1. Signed curvature-coordinate domain theorem,research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""ec2c68c146b714e64d967885c83bd08392d6a69f55a8cf541e3d6ef638b2f063:dd0517db"", ""git_blob"": ""e7d6647a43d4f0910cd5682d49fb0d26cbe47fdc"", ""id"": ""fc2331242ba83130a7abfa46f3a54e8e"", ""observed_commit"": ""373941f2768511cdb3612c1e5b450d4da22a486b"", ""path"": ""docs/audits/external_2026-07-09/critical_review/theorem_candidates.md"", ""source_id"": ""htt_base""}",5,14,"## T1. Signed curvature-coordinate domain theorem

**Statement.** \(\Omega_{k,{\rm aniso}}\)를 signed coordinate로 둘 때와 nonnegative magnitude로 둘 때, comparator \(x_C\), physical cone \(C_{\rm phys}\), endpoint decomposition의 필요충분 조건을 분류한다.

**Assumptions.** Registered congruence, fixed FLRW reference branch, explicit residual \(R_{\rm undeclared}\), declared curvature convention.

**Proof path.** Affine coordinate transformation과 cone image를 비교한다. signed case는 interval arithmetic, magnitude case는 non-linear absolute-value map 또는 split variables \(g_k^+,g_k^-\)로 처리한다.

**Numerical witness.** Random reference curvature를 뽑아 \(\Omega_k-\Omega_{k,ref}\)가 음수가 되는 예를 생성하고, 기존 nonnegative cone endpoint가 틀어지는 사례를 보여준다.
","[""7f92b14a20fa131efdc4443e389349a0""]","{""proof_completion_unconfirmed"": 1}",NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-97ffbd65abc8a965,T2,T2. Component-cone sharpness versus GR-realizability theorem,research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""ec2c68c146b714e64d967885c83bd08392d6a69f55a8cf541e3d6ef638b2f063:dd0517db"", ""git_blob"": ""e7d6647a43d4f0910cd5682d49fb0d26cbe47fdc"", ""id"": ""fc2331242ba83130a7abfa46f3a54e8e"", ""observed_commit"": ""373941f2768511cdb3612c1e5b450d4da22a486b"", ""path"": ""docs/audits/external_2026-07-09/critical_review/theorem_candidates.md"", ""source_id"": ""htt_base""}",15,24,"## T2. Component-cone sharpness versus GR-realizability theorem

**Statement.** P31의 sharpness는 registered convex component model에서는 성립하지만, full Einstein constraint/evolution admissible set에서는 일반적으로 더 좁아질 수 있다.

**Assumptions.** Abstract box/cone admissible set \(C_{\rm box}\), physical solution admissible set \(C_{\rm GR}\subseteq C_{\rm box}\).

**Proof path.** Linear functional image inclusion: \(c^TC_{\rm GR}\subseteq c^TC_{\rm box}\). Equality requires a realization theorem for every endpoint. 이 조건을 별도 lemma로 둔다.

**Numerical witness.** Toy coupled constraint \(g_W\le a g_\Sigma\)를 추가하면 기존 interval이 sharp하지 않음을 보인다.
","[""e9adc031681cc6b701292c4fd4cd6bf4""]","{""proof_completion_unconfirmed"": 1}",NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
role-af7d61b9223e159d,T3,T3. Endpoint inference under active-set changes,research_proposal_candidate,후보 문서가 제시한 구체 절/명제다. 조건부·forecast·proved 등의 표기는 원문 역할/가정을 보존할 뿐 이 매핑의 증명 판정이 아니다.,"{""content_id"": ""ec2c68c146b714e64d967885c83bd08392d6a69f55a8cf541e3d6ef638b2f063:dd0517db"", ""git_blob"": ""e7d6647a43d4f0910cd5682d49fb0d26cbe47fdc"", ""id"": ""fc2331242ba83130a7abfa46f3a54e8e"", ""observed_commit"": ""373941f2768511cdb3612c1e5b450d4da22a486b"", ""path"": ""docs/audits/external_2026-07-09/critical_review/theorem_candidates.md"", ""source_id"": ""htt_base""}",25,34,"## T3. Endpoint inference under active-set changes

**Statement.** Box/cone-constrained reachable estimator의 endpoint maps가 active-set 변화 지점에서 nonsmooth일 때, Gaussian endpoint CI 대신 directional bootstrap 또는 simulation calibration이 필요하다.

**Assumptions.** Local asymptotic normality, convex compact feasible set, endpoint map Hadamard directionally differentiable.

**Proof path.** Shapiro-style directional delta method. Smooth region에서는 IM critical value, kink에서는 bootstrap consistency 조건을 제시한다.

**Numerical witness.** True endpoint가 nonnegative boundary \(g_j=0\)에 있을 때 naive Gaussian endpoint CI가 왜곡되는 MC.
",[],{},NOT_ESTABLISHED_FOR_THIS_PROPOSAL,NOT_EVALUATED
