priority,area,issue,location,required_revision,verification_code_or_test,acceptance_criteria
P0,math,Omega_k_aniso sign conflicts with nonnegative component cone,Section 3.1/P26,Choose signed coordinate or nonnegative magnitude and rewrite cone/endpoints,T1 curvature-domain tests,No theorem assumes g_k>=0 unless definition guarantees it
P0,math,P36 strict inclusion claim too strong,Section 3.3/P36,Replace unconditional strictness with extremizer-compatibility condition,scripts/run_all_experiments.py gf_joint_interval,Counterexample acknowledged and theorem restated true
P0,math,P31 sharpness overstates physical realizability,Section 3.4/P31,Limit sharpness to registered convex component model or prove GR realization,T2 coupled-constraint toy,No phrase implies full spacetime sharpness without constraint-solving proof
P0,statistics,P35 coverage assumptions incomplete,Section 3.4/P35,Split known covariance estimated covariance nonsmooth endpoint cases,scripts/run_all_experiments.py im_coverage plus new bootstrap tests,Nominal coverage demonstrated under stated finite-sample regime
P0,reproducibility,Zip lacks referenced source inputs/scripts,MANIFEST/package,Include generator scripts raw/prepared fixtures lockfile and rerun command,scripts/audit_package_integrity.py,Manifest referenced inputs present or public download recipe verifies hashes
P0,data,Diagnostic figures may be read as inference,Section 12 figures D01-D24,Move gallery to appendix and put claim tier/failed gates in captions,package sidecar audit,Every caption states diagnostic_only and missing null/covariance gates
P1,physics,Parent constraint domain under vorticity not fully specified,Section 3.2,State congruence rest-space curvature and residual conventions explicitly,symbolic identity plus notation lint,No ambiguity between hypersurface curvature and projected curvature
P1,physics,Tilt proxy can be confused with matter tilt detection,D23/Section 12,Relabel CF4 bulk-derived coordinate as kinematic proxy not homogeneous tilt,caption audit,No figure label says Omega_tilt without proxy qualifier unless HTT model exists
P1,physics,K6 curl/shear diagnostic can be overread as vorticity constraint,D06/Section 12,State reconstruction-conditioned diagnostic not spacetime vorticity posterior,sidecar gate,Caption and text block posterior/vorticity inference promotion
P1,statistics,DESI selection/window absent for asymmetry interpretation,D09-D12,Add randoms masks fiber assignment window-convolved null,DESI null pipeline,NGC-SGC/tracer claims only after selection-corrected estimator
P1,statistics,CF4 bootstrap bands ignore key correlated systematics,D03-D19,Add Malmquist grouping heterogeneity correlated velocity mocks,CF4 hierarchical mock suite,Coverage validated under release-matched and selection-aware mocks
P1,statistics,Look-elsewhere across scans/windows not registered,K1/K5/GF scans,Predeclare finite cover thresholds weights windows,T7 e-value/adaptive counterexample,Exploratory and confirmatory scans separated
P1,statistics,Estimated covariance correction too local to K1,Sections 12-13,Apply finite-simulation precision correction wherever whitening uses estimated covariance,Hartlap experiment,All chi2/e-value/whitening claims name covariance source and correction
P1,theory,MES coefficients imported not rederived,Section 4/P3,Mark as registered external coefficients and include citation/provenance table,constant drift unit test,No claim that report independently derives external hierarchy coefficients
P1,structure,Too many theorem/data/future claims in one paper,Whole manuscript,Split methods paper and data-analysis paper,editorial checklist,Main paper has one central claim and appendices carry ledgers
P2,notation,Positive-part and endpoint notation need linting,Sections 3.2-3.4,Automated notation lint for [x_C]_+ vs x_C^+,regex lint,No overloaded glyph remains
P2,notation,kappa/lambda and H/Theta conventions,Sections 3-7,Add convention table and dimension checks,unit tests/symbolic checks,Every theorem lists units/signature/convention
P2,data,Figure source_paths absent from copied sidecars as direct paths,report_data_figures sidecars,Ensure sidecars include both input_hashes and source_paths or a normalized schema,manifest schema validation,Schema machine-validates provenance fields
P2,publication,Novelty framed too broadly,Abstract/conclusion,Frame as identifiability-first diagnostic architecture not detection,literature comparison table,Claims compare specifically with Bianchi template and BiPoSH/partial-ID literature
P2,software,No CI result included,Supplement,Add CI logs for seals experiments and figure generation,CI artifact hash check,Reviewer can verify run status without local repo access
