relative path	size	SHA-256	Git blob SHA	role	provenance	status	resume-required	regenerable
00_READ_FIRST.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	78ca2259c8ae7348936be594b3ca2d6ee560eab8	entry point	current-thread + fresh Git/Atlassian readback	FACT_HANDOFF	yes	yes
01_HANDOFF_MASTER.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	d9a9a4dd31c665c6dce8dba0a624a5f2803826a0	full sections 1-11	current-thread + durable artifacts	FACT_HANDOFF	yes	yes
02_CONTINUATION_BRIEF.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	b330d4cbfdc7c6f728c4a8519dba8feb161aabd4	paste-ready fresh-thread brief	current state	FACT_HANDOFF	yes	yes
03_STATE_LEDGER.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	e791582e8f62d3b5047be599d814ba28a7705558	state/conflict/evidence ledger	fresh GitHub/Atlassian readback	FACT_HANDOFF	yes	yes
04_EQUATION_ARGUMENT_LEDGER.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	fa97d8e36f6422e95169d792f3a8937c7ec376e9	math/argument ledger	accepted report + PR462/464 derivations	FACT_HANDOFF	yes	yes
05_CODE_NUMERICS_DATA_LEDGER.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	1ce12a1ae7b15af41be09ecef507136c3fdeaceb	code/numerics/data ledger	repo/source/test/inventory evidence	FACT_HANDOFF	yes	yes
06_FIGURE_DOCUMENT_LEDGER.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	f524335f8f647b425798d48f4a7efa9d8ad2116f	figure/manuscript ledger	accepted artifact state	FACT_HANDOFF	no	yes
07_RISK_REGISTER.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	70b815c64ef341150a12fab2c7e99c1919440541	reviewer/scientific risks	current evidence and open contracts	FACT_HANDOFF	yes	yes
08_P0_P3_BACKLOG.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	a5eb1d4e4337350bc4644ba25fa46aa3b84c21b2	priority backlog	active DAG	FACT_HANDOFF	yes	yes
09_RESTART_PLAN.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	e5be1b2afc491a298c066119c645296daced7b8a	actionable restart plan	active DAG + implementation contract	FACT_HANDOFF	yes	yes
10_CONVENTIONS.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	f5b3df66dcfe780cefabb065dbd8339c0b34bb35	physics/evidence/workflow conventions	owner rules + project conventions	FACT_HANDOFF	yes	yes
12_REPRO_COMMANDS.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	5d641f54b944a9eab3a4917e77d6f23a8e93453c	inspection/reproduction commands	immutable Git refs	FACT_HANDOFF	yes	yes
EXTERNAL_UPLOADS_REQUIRED.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	053de161e96bf5d2542c02fd00449381f959507c	external/private input map	owner inventory + private uploads	FACT_HANDOFF	yes	yes
machine/state.json	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	680486ebb8ad705d4dee31e1f2334ae31cd607af	machine-readable state	current state	FACT_HANDOFF	yes	yes
machine/SELF_AUDIT.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	16f1f1214fcc5a8858a81efad85a7fc0908685ec	final handoff audit	generated from this packet	FACT_HANDOFF	no	yes
source_snapshot/CANONICAL_POINTERS.md	UNKNOWN_RUNTIME_BLOCKED	NOT_COMPUTED_RUNTIME_BLOCKED	d12340b893234caeac2a28068960083742895c45	immutable source pointers	Git durable artifacts	FACT_HANDOFF	yes	yes
