pr_id,wave,owner,level,risk,current_status,title,depends,disposition,phase,start_condition,maximum_post_replay_claim,rationale
PR-000,0,COMMON,L0,low,completed,"Codex intake, repo snapshot, and immutable baseline inventory",,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-001,0,COMMON,L0,medium,completed,Editable install and import-path stabilization,PR-000,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-002,0,COMMON,L0,medium,completed,"Test markers, optional dependency skips, and smoke suite taxonomy",PR-001,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-003,0,COMMON,L0,low,completed,PR DAG machine-readable manifest and progress engine,PR-000,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-004,0,COMMON,L0,low,completed,"AGENTS.md, repo-scoped skills, custom subagents, and rules install",PR-003,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-005,0,COMMON,L1,low,completed,Five-PR checkpoint and adaptive replan protocol,PR-003,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-010,1,COMMON,L2,medium,completed,"Canonical owner, claim-tier, scope, and bundle contracts",PR-003;PR-004,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-011,1,COMMON,L2,medium,completed,ArtifactManifest schema and artifact-first figure quarantine,PR-010,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-012,1,COMMON,L2,medium,completed,StatusSnapshot and generated claim ledger pipeline,PR-010;PR-011,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-013,1,COMMON,L2,high,completed,MIO/HTT posterior-certificate type firewall,PR-010,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-014,1,COMMON,L2,high,completed,TransferFunctionSpec and transfer-provenance contract,PR-010,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-015,1,COMMON,L2,medium,completed,Claim-language and banned-vocabulary linter,PR-010;PR-013;PR-014,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-020,2,COMMON,L1,medium,completed,Harness runner for collect/smoke/fast/package subsets,PR-002;PR-003,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
PR-021,2,COMMON,L1,medium,completed,Optional dependency registry and skip-audit report,PR-002;PR-020,MIGRATE_REVALIDATE,0-1-baseline-and-harness,successor harness on current HEAD; preserve historical receipts byte-for-byte,INFRASTRUCTURE_OR_CONTRACT_READINESS; non-scientific,"Port the contract/harness to the current typed model and replace obsolete blanket blockers with typed, dischargeable conditions."
