anchor_id,proposed_id,title,role,rationale_ko,source,line_start,line_end,excerpt,linked_item_ids,prior_proof_statuses,proof_support,novelty_assessment
role-4805cfd8132b7b9a,,R8.scaling_norm_fixtures,internal_auxiliary,명시된 고정 벡터·행렬·숫자 예제의 값이나 랭크를 확인하는 검증 보조정리다. 해당 예제의 계산을 일반 정리 후보 전체와 구별한다.,"{""content_id"": ""a1cb21e68444295606be3fe8bccd2a678de813c52b1b7236600c77dcb38420b4:ad208a43"", ""git_blob"": ""cfa9be083fe869ce003e8cf631c9a8d23de88adf"", ""id"": ""4c05a9f6486442a79bda4cc66e7925a1"", ""observed_commit"": ""9ed6ab5cd8cbb237b9fdd84e41f906ac39896970"", ""path"": "".agent-harness/runs/R8-AC-20260909/artifacts/lean/R8.lean"", ""source_id"": ""htt_base""}",26,31,"theorem scaling_norm_fixtures :
    ((-1 : ℝ)^2 + 0^2 + 1^2 = 2) ∧
    ((2 : ℝ)^2 + 3*(-1)^2 + 3*(-1)^2 = 10) ∧
    ((2 : ℝ)^2+(-1)^2+(-1)^2 = 6) ∧
    ((-1 : ℝ)^2+(-1)^2 = 2) := by norm_num
","[""db09386f3482e483e9b749d9aaaa13ff""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-380a476d9d4ba73a,,R8.tie_fixture,internal_auxiliary,명시된 고정 벡터·행렬·숫자 예제의 값이나 랭크를 확인하는 검증 보조정리다. 해당 예제의 계산을 일반 정리 후보 전체와 구별한다.,"{""content_id"": ""a1cb21e68444295606be3fe8bccd2a678de813c52b1b7236600c77dcb38420b4:ad208a43"", ""git_blob"": ""cfa9be083fe869ce003e8cf631c9a8d23de88adf"", ""id"": ""4c05a9f6486442a79bda4cc66e7925a1"", ""observed_commit"": ""9ed6ab5cd8cbb237b9fdd84e41f906ac39896970"", ""path"": "".agent-harness/runs/R8-AC-20260909/artifacts/lean/R8.lean"", ""source_id"": ""htt_base""}",127,129,"theorem tie_fixture (n : ℕ) : countGE (fun _ : Fin n => (0:ℝ)) 0 = n := by
  simp [countGE]
","[""d4dbcc4d21b54b66d5089437ce778931""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-142eff15490fc09a,,R8O4.perm_cases,internal_auxiliary,"상위 증명에서 사용하는 행렬·벡터 대수, 유한 최댓값, 형 변환·순열의 기초 보조정리다. 선언과 같은 파일의 사용 문맥을 읽어 역할을 확인했다.","{""content_id"": ""f46f52f91ff0dffcc27ae59fd1d03391bebde8a8663ba52b1ea70d2ae54d1770:ad208a43"", ""git_blob"": ""e50864154fa083ee8da0024f2cd757009bba6411"", ""id"": ""a4ce0e38bc2df93c010f7dd93e63f060"", ""observed_commit"": ""ea0305fa9e5f23e4d22a40ab826155202e76b574"", ""path"": "".agent-harness/runs/R8-B-20260909/artifacts/direct_execution/O4.lean"", ""source_id"": ""htt_base""}",78,91," theorem perm_cases (p : Equiv.Perm (Fin 3)) :
     (p 0 = 0 ∧ p 1 = 1 ∧ p 2 = 2) ∨
     (p 0 = 0 ∧ p 1 = 2 ∧ p 2 = 1) ∨
     (p 0 = 1 ∧ p 1 = 0 ∧ p 2 = 2) ∨
     (p 0 = 1 ∧ p 1 = 2 ∧ p 2 = 0) ∨
     (p 0 = 2 ∧ p 1 = 0 ∧ p 2 = 1) ∨
     (p 0 = 2 ∧ p 1 = 1 ∧ p 2 = 0) := by
  have h01 : p 0 ≠ p 1 := p.injective.ne (by decide)
  have h02 : p 0 ≠ p 2 := p.injective.ne (by decide)
  have h12 : p 1 ≠ p 2 := p.injective.ne (by decide)
  generalize h0 : p 0 = x
  generalize h1 : p 1 = y
  generalize h2 : p 2 = z
  fin_cases x <;> fin_cases y <;> fin_cases z <;> simp_all","[""88b23d3a661895d21a27ca1d89574a44""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-6d906962acee7dfe,,R8O4.q_cast,internal_auxiliary,"상위 증명에서 사용하는 행렬·벡터 대수, 유한 최댓값, 형 변환·순열의 기초 보조정리다. 선언과 같은 파일의 사용 문맥을 읽어 역할을 확인했다.","{""content_id"": ""f46f52f91ff0dffcc27ae59fd1d03391bebde8a8663ba52b1ea70d2ae54d1770:ad208a43"", ""git_blob"": ""e50864154fa083ee8da0024f2cd757009bba6411"", ""id"": ""a4ce0e38bc2df93c010f7dd93e63f060"", ""observed_commit"": ""ea0305fa9e5f23e4d22a40ab826155202e76b574"", ""path"": "".agent-harness/runs/R8-B-20260909/artifacts/direct_execution/O4.lean"", ""source_id"": ""htt_base""}",132,135," theorem q_cast (A : ℝ) (u v : V ℝ) (i j : Fin 3) :
     ((Q A u v i j : ℝ) : ℂ) = Q (A : ℂ) (complexify u) (complexify v) i j := by
  simp only [Q, S2, delta, dot, complexify, Fin.sum_univ_succ]
  split_ifs <;> push_cast <;> ring","[""4c7d6898fa7e7fe7f7335123fc127947""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-e98795336971b348,,R8O4.o_cast,internal_auxiliary,"상위 증명에서 사용하는 행렬·벡터 대수, 유한 최댓값, 형 변환·순열의 기초 보조정리다. 선언과 같은 파일의 사용 문맥을 읽어 역할을 확인했다.","{""content_id"": ""f46f52f91ff0dffcc27ae59fd1d03391bebde8a8663ba52b1ea70d2ae54d1770:ad208a43"", ""git_blob"": ""e50864154fa083ee8da0024f2cd757009bba6411"", ""id"": ""a4ce0e38bc2df93c010f7dd93e63f060"", ""observed_commit"": ""ea0305fa9e5f23e4d22a40ab826155202e76b574"", ""path"": "".agent-harness/runs/R8-B-20260909/artifacts/direct_execution/O4.lean"", ""source_id"": ""htt_base""}",136,139," theorem o_cast (A : ℝ) (u v w : V ℝ) (i j k : Fin 3) :
     ((O A u v w i j k : ℝ) : ℂ) = O (A : ℂ) (complexify u) (complexify v) (complexify w) i j k := by
  simp only [O, S3, b, delta, dot, complexify, Fin.sum_univ_succ]
  split_ifs <;> push_cast <;> ring","[""5a7c8d3cc151ccd4c16dd40b2e7a4b10""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-b5a19545fc943675,,R8D.fixture_norms,internal_auxiliary,명시된 고정 벡터·행렬·숫자 예제의 값이나 랭크를 확인하는 검증 보조정리다. 해당 예제의 계산을 일반 정리 후보 전체와 구별한다.,"{""content_id"": ""749977f58d7746684890e4e5d5da02575f123e620c5949f1ac5c5266ad4863b4:ad208a43"", ""git_blob"": ""4dde878fe9fa36b19ffa41197e52471b698ba07d"", ""id"": ""fdea02be54b1673f86d9a2639199a6e7"", ""observed_commit"": ""7b571adb2e39d233a10c6633d51da74d9d50a0ca"", ""path"": "".agent-harness/runs/R8-D-20260910/artifacts/direct_execution/Support.lean"", ""source_id"": ""htt_base""}",12,12,theorem fixture_norms : (1:ℚ)^2+2^2+1^2+2^2+1^2+2^2+1^2+2^2=20 := by norm_num,"[""480e1cc8f9f9d008cb901d669104e3f7""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-7d1f7e9a85869887,,R8D.ray_fixture,internal_auxiliary,명시된 고정 벡터·행렬·숫자 예제의 값이나 랭크를 확인하는 검증 보조정리다. 해당 예제의 계산을 일반 정리 후보 전체와 구별한다.,"{""content_id"": ""749977f58d7746684890e4e5d5da02575f123e620c5949f1ac5c5266ad4863b4:ad208a43"", ""git_blob"": ""4dde878fe9fa36b19ffa41197e52471b698ba07d"", ""id"": ""fdea02be54b1673f86d9a2639199a6e7"", ""observed_commit"": ""7b571adb2e39d233a10c6633d51da74d9d50a0ca"", ""path"": "".agent-harness/runs/R8-D-20260910/artifacts/direct_execution/Support.lean"", ""source_id"": ""htt_base""}",16,16,theorem ray_fixture : v 0=0 ∧ v 1=0 ∧ v 2=0 ∧ v 3=0 ∧ v 7=1 := by decide,"[""0d6796dfcf51dc77d1a57b86d9b4e17e""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-3676466847525676,,PR254R3LeanAxis.finiteMax_le_iff,internal_auxiliary,"상위 증명에서 사용하는 행렬·벡터 대수, 유한 최댓값, 형 변환·순열의 기초 보조정리다. 선언과 같은 파일의 사용 문맥을 읽어 역할을 확인했다.","{""content_id"": ""7ebc96847f3dbf291c3ddbca2945bbf1e0848401108ced298dfea6844ce67c25:ad208a43"", ""git_blob"": null, ""id"": ""5627ca749a97b293d349c22322b142d4"", ""observed_commit"": null, ""path"": "".agent-harness/runs/premise-anchor-pr254-cas-r3-20260728/artifacts/A-PR254-R3-CAS-LEAN/PR254R3LeanAxis.lean"", ""source_id"": ""worktree_b30ecf95f2f5""}",34,37,"theorem finiteMax_le_iff (f : ι → ℝ) (c : ℝ) :
    finiteMax f ≤ c ↔ ∀ i, f i ≤ c := by
  simp [finiteMax, Finset.sup'_le_iff]
","[""fca70042f9085a484f255f2b1c394052""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-64b98c41530d171f,,PR254R3LeanAxis.le_finiteMax,internal_auxiliary,"상위 증명에서 사용하는 행렬·벡터 대수, 유한 최댓값, 형 변환·순열의 기초 보조정리다. 선언과 같은 파일의 사용 문맥을 읽어 역할을 확인했다.","{""content_id"": ""7ebc96847f3dbf291c3ddbca2945bbf1e0848401108ced298dfea6844ce67c25:ad208a43"", ""git_blob"": null, ""id"": ""5627ca749a97b293d349c22322b142d4"", ""observed_commit"": null, ""path"": "".agent-harness/runs/premise-anchor-pr254-cas-r3-20260728/artifacts/A-PR254-R3-CAS-LEAN/PR254R3LeanAxis.lean"", ""source_id"": ""worktree_b30ecf95f2f5""}",38,46,"theorem le_finiteMax (f : ι → ℝ) (i : ι) :
    f i ≤ finiteMax f := by
  unfold finiteMax
  exact Finset.le_sup' (f := f) (Finset.mem_univ i)

end FiniteMaximum

/-! ## Product of typed Euclidean block balls -/
","[""e3b91799f428c6a1450668f153b8ab09""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
role-58b453b9e445b0a0,,ellipsoid_fixture_form,internal_auxiliary,명시된 고정 벡터·행렬·숫자 예제의 값이나 랭크를 확인하는 검증 보조정리다. 해당 예제의 계산을 일반 정리 후보 전체와 구별한다.,"{""content_id"": ""7ebc96847f3dbf291c3ddbca2945bbf1e0848401108ced298dfea6844ce67c25:ad208a43"", ""git_blob"": null, ""id"": ""5627ca749a97b293d349c22322b142d4"", ""observed_commit"": null, ""path"": "".agent-harness/runs/premise-anchor-pr254-cas-r3-20260728/artifacts/A-PR254-R3-CAS-LEAN/PR254R3LeanAxis.lean"", ""source_id"": ""worktree_b30ecf95f2f5""}",112,117,"theorem ellipsoid_fixture_form (u : Fin 2 → ℝ) :
    quadraticForm ellipsoidFixtureQ u =
      (u 0) ^ 2 / 4 + (u 1) ^ 2 / 9 := by
  simp [quadraticForm, ellipsoidFixtureQ, Fin.sum_univ_two]
  ring
","[""bce6e597f8a24c68bd5ef5532a34d0de""]","{""existing_proof_support_confirmed"": 1}",existing_support_at_exact_declaration,NOT_EVALUATED
